product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/campus-camp-fleek-running-training-gym-shoes-women-lightweight-comfortable-walking/p/itm4ec6f56e62ead?pid=SHOGHXKDVHFFQZNM&lid=LSTSHOGHXKDVHFFQZNMN1RX5K&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_11&otracker=search&otracker1=search&fm=Search&iid=en_cYuicL4I37zQH7DqQESxs_zA2bU_dBeepupu35tDkaSgyWbdR3iEkUShhGd4g2UGO9zPM6CM7QpnrNa8aXddfevN4Mn-dv-pi277bRzMbnY%3D&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,"CAMP FLEEK | Running, Training, Gym Shoes for Women | Lightweight Comfortable Walking Shoes For Women",CAMPUS ,742,0.42,4.1,235
https://www.flipkart.com/asian-casual-sneaker-shoes-women-stylish-comfortable-lace-up-style-running/p/itmfaa6b7cacbce5?pid=SHOGUYEUKKBK7XAF&lid=LSTSHOGUYEUKKBK7XAFZJ8VBF&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_12&otracker=search&otracker1=search&fm=Search&iid=en_cYuicL4I37zQH7DqQESxs_zA2bU_dBeepupu35tDkaQ-PTk8Qf9RgELuIjwqE0EtNCHi3ptANoqQMIPhg95PzmaRs4JL222ZRV-dN99QnxU%3D&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,Casual Sneaker Shoes For Women | Stylish and Comfortable | Lace-Up Style Running Shoes For Women,asian ,773,0.48,4.2,5019
https://www.flipkart.com/hrx-hrithik-roshan-h-059-01-running-shoes-women/p/itm26b8d4a377133?pid=SHOGRENUZZRGZ6BJ&lid=LSTSHOGRENUZZRGZ6BJTAOOKT&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_13&otracker=search&otracker1=search&fm=Search&iid=7f6e72ba-7d35-4491-b913-235280094930.SHOGRENUZZRGZ6BJ.SEARCH&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,H-059 01 Running Shoes For Women,HRX by Hrithik Roshan ,1175,0.69,4.2,4021
https://www.flipkart.com/asian-mercury-11-mint-sports-gym-walking-training-stylish-running-shoes-women/p/itmd59c8ace18690?pid=SHOGPDFBT6ZTMUDH&lid=LSTSHOGPDFBT6ZTMUDHEB3NFT&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_14&otracker=search&otracker1=search&fm=Search&iid=7f6e72ba-7d35-4491-b913-235280094930.SHOGPDFBT6ZTMUDH.SEARCH&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,"Mercury-11 Mint Sports,Gym,Walking,Training,Stylish Running Shoes For Women",asian ,799,0.23,4.2,98386
https://www.flipkart.com/lotto-energex-running-shoes-women/p/itme6168352b454a?pid=SHOHGXK4NRUMKHCJ&lid=LSTSHOHGXK4NRUMKHCJI57FY4&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_15&otracker=search&otracker1=search&fm=Search&iid=7f6e72ba-7d35-4491-b913-235280094930.SHOHGXK4NRUMKHCJ.SEARCH&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,Energex Running Shoes For Women,LOTTO ,2579,0.57,,
https://www.flipkart.com/k-footlance-stylish-walking-partywear-sneakers-casual-shoes-women/p/itm9092b85991653?pid=SHOGJ2W8HN68GZKR&lid=LSTSHOGJ2W8HN68GZKRU0RENR&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&spotlightTagId=default_BestsellerId_osp%2Fiko%2Fd20&srno=s_1_16&otracker=search&otracker1=search&fm=Search&iid=7f6e72ba-7d35-4491-b913-235280094930.SHOGJ2W8HN68GZKR.SEARCH&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,Stylish Walking Partywear Sneakers Casual Shoes Walking Shoes For Women,K' Footlance ,361,0.63,3.9,14633
https://www.flipkart.com/campus-jolly-running-training-sports-shoes-women-lightweight-comfortable-walking/p/itmfb059570afe2a?pid=SHOGQ2ZJU4XAPJKK&lid=LSTSHOGQ2ZJU4XAPJKKSGPPBH&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_17&otracker=search&otracker1=search&fm=Search&iid=en_cYuicL4I37zQH7DqQESxs_zA2bU_dBeepupu35tDkaTjO8YHO9ovCfYdXXWjRapdKJlPWrQdCTFGNby7bSVOwa8iqbiwhGf4dwbXVx7ZSks%3D&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,"JOLLY | Running, Training, Sports Shoes for Women | Lightweight Comfortable Walking Shoes For Women",CAMPUS ,899,0.3,4.3,184
https://www.flipkart.com/red-tape-women-s-athleisure-sports-shoes-active-everyday-style-walking-women/p/itmd0ec9eeec50f1?pid=SHOHF678C9YXGKWZ&lid=LSTSHOHF678C9YXGKWZVBWBWO&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_19&otracker=search&otracker1=search&fm=Search&iid=7f6e72ba-7d35-4491-b913-235280094930.SHOHF678C9YXGKWZ.SEARCH&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,Women's Athleisure Sports Shoes for Active Everyday Style Walking Shoes For Women,RED TAPE ,1128,0.81,4.3,3308
https://www.flipkart.com/avant-smoothfit-outdoor-sports-shoes-enhanced-grip-tpr-outsole-running-women/p/itm6e02760e89759?pid=SHOGXGDFAETZCEZR&lid=LSTSHOGXGDFAETZCEZRHH2EU5&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_21&otracker=search&otracker1=search&fm=Search&iid=en_cYuicL4I37zQH7DqQESxs_zA2bU_dBeepupu35tDkaSxDprPm8tZm0wlELEXm1Lege_wR1Cd_isXEHmlNwvZ3MsrgPW5YLzJU0_H6_RHKR0%3D&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,Smoothfit Outdoor Sports Shoes with Enhanced Grip TPR Outsole Running Shoes For Women,AVANT ,799,0.38,4.2,317
https://www.flipkart.com/campus-sunshine-running-training-gym-shoes-women-lightweight-comfortable-running/p/itm8e41df6143229?pid=SHOFKDR6URGUWMVW&lid=LSTSHOFKDR6URGUWMVWX6CMWC&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_22&otracker=search&otracker1=search&fm=Search&iid=en_cYuicL4I37zQH7DqQESxs_zA2bU_dBeepupu35tDkaTDlS1CEnsW4M6Wfw1IfW8XQQVXlzKIGcsUdVKvUbyKBOI7uWi7bi3WLqk6JF-UYDE%3D&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,"SUNSHINE | Running, Training, Gym Shoes for Women | Lightweight Comfortable Running Shoes For Women",CAMPUS ,1099,0.38,4.2,7038
