product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/campus-camp-fleek-running-training-gym-shoes-women-lightweight-comfortable-walking/p/itm4ec6f56e62ead?pid=SHOGHXKDVHFFQZNM&lid=LSTSHOGHXKDVHFFQZNMN1RX5K&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_48&otracker=search&otracker1=search&fm=Search&iid=en_NH-cUEKc3obCo9qV7wETkPYkkGvTsmtggYWflk1VXUJr4ShHw6vwWr_pPeOuCUZUKpWdsIBPwXiNlVWraqeS7PUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=wb3k94z0e80000001762758264258&qH=32e27b1148959538,"CAMP FLEEK | Running, Training, Gym Shoes for Women | Lightweight Comfortable Walking Shoes For Women",CAMPUS ,742,0.42,4.1,235
https://www.flipkart.com/asian-casual-sneaker-shoes-women-stylish-comfortable-lace-up-style-running/p/itmfaa6b7cacbce5?pid=SHOGUYEUKKBK7XAF&lid=LSTSHOGUYEUKKBK7XAFZJ8VBF&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_51&otracker=search&otracker1=search&fm=Search&iid=en_NH-cUEKc3obCo9qV7wETkPYkkGvTsmtggYWflk1VXULXp8WKWBavwEktLmtwO8P_e0B0zwijtuOMptsuOcABVfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=wb3k94z0e80000001762758264258&qH=32e27b1148959538,Casual Sneaker Shoes For Women | Stylish and Comfortable | Lace-Up Style Running Shoes For Women,asian ,773,0.48,4.2,5019
https://www.flipkart.com/campus-jolly-running-training-sports-shoes-women-lightweight-comfortable-walking/p/itmfb059570afe2a?pid=SHOGQ2ZJU4XAPJKK&lid=LSTSHOGQ2ZJU4XAPJKKSGPPBH&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_52&otracker=search&otracker1=search&fm=Search&iid=en_NH-cUEKc3obCo9qV7wETkPYkkGvTsmtggYWflk1VXULQ508f2DzW0CvpFeRqGmp5oa6i1tTs_v-IV6-7YYEbsPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=wb3k94z0e80000001762758264258&qH=32e27b1148959538,"JOLLY | Running, Training, Sports Shoes for Women | Lightweight Comfortable Walking Shoes For Women",CAMPUS ,899,0.3,4.3,184
https://www.flipkart.com/asian-grey-sports-gym-walking-training-stylish-running-shoes-women/p/itm8b461c6433a0b?pid=SHOGPDGUKGYPZNBF&lid=LSTSHOGPDGUKGYPZNBF5HICIW&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_57&otracker=search&otracker1=search&fm=Search&iid=en_NH-cUEKc3obCo9qV7wETkPYkkGvTsmtggYWflk1VXUJ2GG7UjPNl-lBXz69b5xW2hOtzi-gTmLDKjAm8ImtI3PUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=wb3k94z0e80000001762758264258&qH=32e27b1148959538,"Grey Sports,Gym,Walking,Training,Stylish Running Shoes For Women",asian ,799,0.23,4.2,98386
https://www.flipkart.com/avant-smoothfit-outdoor-sports-shoes-enhanced-grip-tpr-outsole-running-women/p/itm6e02760e89759?pid=SHOGXGDFAETZCEZR&lid=LSTSHOGXGDFAETZCEZRHH2EU5&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_58&otracker=search&otracker1=search&fm=Search&iid=en_NH-cUEKc3obCo9qV7wETkPYkkGvTsmtggYWflk1VXUJrhL2HIBs2wVprHgHRqNVMCldbeJo4anpxRdCLF7fSCvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=wb3k94z0e80000001762758264258&qH=32e27b1148959538,Smoothfit Outdoor Sports Shoes with Enhanced Grip TPR Outsole Running Shoes For Women,AVANT ,799,0.38,4.2,317
https://www.flipkart.com/campus-sunshine-running-training-gym-shoes-women-lightweight-comfortable-running/p/itm8e41df6143229?pid=SHOFKDR6URGUWMVW&lid=LSTSHOFKDR6URGUWMVWX6CMWC&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_61&otracker=search&otracker1=search&fm=Search&iid=en_NH-cUEKc3obCo9qV7wETkPYkkGvTsmtggYWflk1VXUKd1BK8Ej5qk_foR4EXvgXJjQi-QE9jc-_FZnGWbcdAzg%3D%3D&ppt=sp&ppn=sp&ssid=wb3k94z0e80000001762758264258&qH=32e27b1148959538,"SUNSHINE | Running, Training, Gym Shoes for Women | Lightweight Comfortable Running Shoes For Women",CAMPUS ,1099,0.38,4.2,7038
https://www.flipkart.com/avant-aura-running-shoes-superior-traction-anti-skid-lightweight-multi-directional-shoes-women/p/itm850f1825253da?pid=SHOH3ZC3MZSYWN29&lid=LSTSHOH3ZC3MZSYWN29QBJIYW&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_62&otracker=search&otracker1=search&fm=Search&iid=en_NH-cUEKc3obCo9qV7wETkPYkkGvTsmtggYWflk1VXUJW26rlmspq3pF7Gh8EDa7Z0XP2Ovufh0OG5SkD71vwyKV8WX5krIChubBlraAu4CQ%3D&ppt=sp&ppn=sp&ssid=wb3k94z0e80000001762758264258&qH=32e27b1148959538,"Aura Running Shoes-Superior Traction,Anti Skid, Lightweight, Multi directional Running Shoes For Women",AVANT ,859,0.35,4.4,190
https://www.flipkart.com/asian-mercury-11-navy-sports-gym-walking-training-stylish-running-shoes-women/p/itm9c86b2882cdb8?pid=SHOGPDGU9EVRYWH2&lid=LSTSHOGPDGU9EVRYWH2LRPDC0&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_67&otracker=search&otracker1=search&fm=Search&iid=en_NH-cUEKc3obCo9qV7wETkPYkkGvTsmtggYWflk1VXUJypdgDKp8d2MTJoznNundnVCdcTBTfKxIS4CTp1c4s2Q891ypMzu4_aryI8_sihJ8%3D&ppt=sp&ppn=sp&ssid=wb3k94z0e80000001762758264258&qH=32e27b1148959538,"Mercury-11 Navy Sports,Gym,Walking,Training,Stylish Running Shoes For Women",asian ,799,0.23,4.2,98386
https://www.flipkart.com/trenz-lace-ups-running-shoes-cultured-round-toe-shape-women/p/itm7e35d65806f78?pid=SHOH946B3VYZNDXU&lid=LSTSHOH946B3VYZNDXUMG59PS&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_68&otracker=search&otracker1=search&fm=Search&iid=en_NH-cUEKc3obCo9qV7wETkPYkkGvTsmtggYWflk1VXUI8EFJiznn8vf_Wv20eLsUd04YJ6m5f6qbHSJDup6NfGQ%3D%3D&ppt=sp&ppn=sp&ssid=wb3k94z0e80000001762758264258&qH=32e27b1148959538,Lace-Ups Running Shoes |Cultured Round-Toe Shape Running Shoes For Women,Trenz ,795,0.55,,
https://www.flipkart.com/aqualite-skr-131-casual-lifestyle-women-shoe-without-lace-slip-on-dailyware-walking-shoes/p/itmce14fb8a8daa6?pid=SHOHBY2VGM9YJQSX&lid=LSTSHOHBY2VGM9YJQSXZA4PZV&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_70&otracker=search&otracker1=search&fm=Search&iid=ad11a4e9-f48d-4430-af53-ea12065dacec.SHOHBY2VGM9YJQSX.SEARCH&ppt=sp&ppn=sp&ssid=wb3k94z0e80000001762758264258&qH=32e27b1148959538,"Aqualite SKR-131 Casual Lifestyle Women Shoe without lace, slip-on dailyware Walking Shoes For Women",Aqualite ,584,0.1,4,3502
